URL,MobileURL,Date,Title,Relevant
http://kmph.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 17:45,Teenager critically injured while playing Russian Roulette,T
http://wwmt.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 17:45,Teenager critically injured while playing Russian Roulette,T
http://fox11online.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 17:45,Teenager critically injured while playing Russian Roulette,T
http://abc3340.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 17:45,Teenager critically injured while playing Russian Roulette,T
http://abc7amarillo.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 19:45,Teenager critically injured while playing Russian Roulette,T
http://local21news.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 19:45,Teenager critically injured while playing Russian Roulette,T
http://wsbt.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 19:45,Teenager critically injured while playing Russian Roulette,T
http://whdh.com/news/teenager-critically-injured-while-playing-russian-roulette/,http://whdh.com/news/teenager-critically-injured-while-playing-russian-roulette/amp/,11/2/17 16:30,"Teenager critically injured while playing Russian Roulette – Boston News , Weather , Sports",T
http://komonews.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 19:00,Teenager critically injured while playing Russian Roulette,T
http://foxrochester.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 19:00,Teenager critically injured while playing Russian Roulette,T
http://cbs12.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 20:15,Teenager critically injured while playing Russian Roulette,T
http://weartv.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 20:15,Teenager critically injured while playing Russian Roulette,T
http://cbs2iowa.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 18:15,Teenager critically injured while playing Russian Roulette,T
http://www.statesville.com/news/us/ap/teenager-critically-injured-while-playing-russian-roulette/article_ccaddc41-4f60-5efc-8235-f865076d9e44.html,,11/2/17 11:15,Teenager critically injured while playing Russian Roulette | US,T
http://www.greensboro.com/ap/us_world/teenager-critically-injured-while-playing-russian-roulette/article_53e112d6-c279-517f-8943-e90394ef7ffe.html,,11/2/17 9:45,Teenager critically injured while playing Russian Roulette | AP US / World,T
http://www.beaumontenterprise.com/news/crime/article/Teenager-critically-injured-while-playing-Russian-12325504.php,http://www.beaumontenterprise.com/news/crime/amp/Teenager-critically-injured-while-playing-Russian-12325504.php,11/2/17 9:45,Teenager critically injured while playing Russian Roulette,T
http://www.newsadvance.com/news/national/wire/teenager-critically-injured-while-playing-russian-roulette/article_59254bf5-5c9a-591d-bf66-929cb8021da4.html,,11/2/17 9:45,Teenager critically injured while playing Russian Roulette | National News,T
http://www.chieftain.com/news/national/teenager-critically-injured-while-playing-russian-roulette/article_32a9296f-2153-5f4c-914c-c97d30b1b234.html,,11/2/17 9:30,Teenager critically injured while playing Russian Roulette,T
http://www.wacotrib.com/news/ap_nation/teenager-critically-injured-while-playing-russian-roulette/article_0a9164a4-655f-5e4e-af19-9a555b6c6460.html,,11/2/17 9:30,Teenager critically injured while playing Russian Roulette | National News,T
http://www.dailyprogress.com/news/national/wire/teenager-critically-injured-while-playing-russian-roulette/article_712f4462-4f7a-571d-a565-a9961e145ed8.html,,11/2/17 9:30,Teenager critically injured while playing Russian Roulette | National News,T
http://whlt.com/ap/teenager-critically-injured-while-playing-russian-roulette/,,11/2/17 10:30,Teenager critically injured while playing Russian Roulette,T
http://www.sfgate.com/news/crime/article/Teenager-critically-injured-while-playing-Russian-12325504.php,http://www.sfgate.com/news/crime/amp/Teenager-critically-injured-while-playing-Russian-12325504.php,11/2/17 9:15,Teenager critically injured while playing Russian Roulette,T
https://www.seattletimes.com/nation-world/teenager-critically-injured-while-playing-russian-roulette/,,11/2/17 9:15,Teenager critically injured while playing Russian Roulette,T
http://www.dailyjournal.net/2017/11/02/us-russian-roulette-teenager-injured/,,11/2/17 14:30,Teenager critically injured while playing Russian Roulette,T
http://abcnews.go.com/US/wireStory/teenager-critically-injured-playing-russian-roulette-50879966,http://abcnews.go.com/amp/US/wireStory/teenager-critically-injured-playing-russian-roulette-50879966,11/2/17 17:00,Teenager critically injured while playing Russian Roulette,T
http://nbc4i.com/2017/11/02/teenager-critically-injured-while-playing-russian-roulette/,http://nbc4i.com/2017/11/02/teenager-critically-injured-while-playing-russian-roulette/amp/,11/2/17 13:00,Teenager critically injured while playing Russian Roulette,T
http://www.fox8live.com/story/36744106/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 12:00,Teenager critically injured while playing Russian Roulette,T
